"","date","tweet"
"580",2017-01-19,4692
"581",2017-01-20,4029
"582",2017-01-21,3183
"583",2017-01-22,2970
"584",2017-01-23,5428
"585",2017-01-24,4354
"586",2017-01-25,5678
"587",2017-01-26,4067
"588",2017-01-27,3601
"589",2017-01-28,3131
"590",2017-01-29,3193
"591",2017-01-30,5451
"592",2017-01-31,3874
"593",2017-02-01,3757
"594",2017-02-02,3413
"595",2017-02-03,3747
"596",2017-02-04,3065
"597",2017-02-05,2857
"598",2017-02-06,3928
"599",2017-02-07,3582
"600",2017-02-08,6239
"601",2017-02-09,3573
"602",2017-02-10,3755
"603",2017-02-11,2836
"604",2017-02-12,2889
"605",2017-02-13,3878
"606",2017-02-14,3590
"607",2017-02-15,5146
"608",2017-02-16,3948
"609",2017-02-17,3038
"610",2017-02-18,2912
"611",2017-02-19,2779
"612",2017-02-20,3352
"613",2017-02-21,3456
"614",2017-02-22,4381
"615",2017-02-23,3568
"616",2017-02-24,3416
"617",2017-02-25,2975
"618",2017-02-26,2897
"619",2017-02-27,3965
"620",2017-02-28,3596
"621",2017-03-01,4158
"622",2017-03-02,3578
"623",2017-03-03,3920
"624",2017-03-04,3333
"625",2017-03-05,3072
"626",2017-03-06,3609
"627",2017-03-07,4594
"628",2017-03-08,4448
"629",2017-03-09,3864
"630",2017-03-10,3774
"631",2017-03-11,3508
"632",2017-03-12,3646
"633",2017-03-13,4162
"634",2017-03-14,4360
"635",2017-03-15,5150
"636",2017-03-16,4789
"637",2017-03-17,4417
"638",2017-03-18,4203
"639",2017-03-19,4505
"640",2017-03-20,4136
"641",2017-03-21,4344
"642",2017-03-22,3964
"643",2017-03-23,4159
"644",2017-03-24,4475
"645",2017-03-25,3800
"646",2017-03-26,4090
"647",2017-03-27,3983
"648",2017-03-28,4793
"649",2017-03-29,4428
"650",2017-03-30,4563
"651",2017-03-31,4553
"652",2017-04-01,4047
"653",2017-04-02,4331
"654",2017-04-03,4447
"655",2017-04-04,4667
"656",2017-04-05,4191
"657",2017-04-06,4210
"658",2017-04-07,4452
"659",2017-04-08,4212
"660",2017-04-09,4067
"661",2017-04-10,3948
"662",2017-04-11,4686
"663",2017-04-12,4377
"664",2017-04-13,4282
"665",2017-04-14,4289
"666",2017-04-15,4114
"667",2017-04-16,4383
"668",2017-04-17,5120
"669",2017-04-18,4623
"670",2017-04-19,4615
"671",2017-04-20,4645
"672",2017-04-21,4512
"673",2017-04-22,4305
"674",2017-04-23,4272
